fecha;propietario_mnemotecnico;propietario_nombre;balance_energia;balance_valorizado
2025-01-01;G0203;SANTIAGO SOLAR S.A.;7487200,0;1941070,0
2025-01-01;G0204;SAN JUAN S.A.;-16258697,0;-1079920283,0
2025-01-01;G0205;PARQUE SOLAR BELLAVISTA SPA;620742,0;2605490,0
2025-01-01;G0207;ELÉCTRICA RASO POWER LTDA.;87173,0;19537979,0
2025-01-01;G0211;GR LLEUQUE SPA;2913501,0;29678138,0
2025-01-01;G0213;EMPRESA ELÉCTRICA ANGAMOS SPA;172065480,0;9828227134,0
2025-01-01;G0215;EMPRESA ELÉCTRICA COCHRANE SPA;104070761,0;8730656405,0
2025-01-01;G0216;ENGIE ENERGÍA CHILE S.A.;-641510252,0;-28232870080,0
2025-01-01;G0220;GENERACIÓN SOLAR SPA;5053849,0;-2813673,0
2025-01-01;G0222;PLANTA SOLAR SAN PEDRO III SPA;9175388,0;15882887,0
2025-01-01;G0223;POZO ALMONTE SOLAR 2 S.A.;-8416,0;-722577,0
2025-01-01;G0224;POZO ALMONTE SOLAR 3 S.A.;-14574,0;-1283029,0
2025-01-01;G0225;SPS LA HUAYCA S.A.;2305478,0;36470193,0
2025-01-01;G0226;TAMAKAYA ENERGÍA SPA;34549431,0;2706445466,0
2025-01-01;G0227;CE CENTINELA SOLAR SPA;0,0;2085513,0
2025-01-01;G0228;PMGD PICA PILOT [No_Mostrar];7544106,0;-726996233,0
2025-01-01;G0230;CENTRAL TERMOELÉCTRICA ANDINA SPA;-72293717,0;-2848144800,0
2025-01-01;G0231;ENERNUEVAS S.A.;1704439,0;74208796,0
2025-01-01;G0232;GEOTÉRMICA DEL NORTE S.A.;10174268,0;431913565,0
2025-01-01;G0233;BOLERO SPA;24758692,0;29456667,0
2025-01-01;G0234;INVERSIONES HORNITOS SPA;8250518,0;423427461,0
2025-01-01;G0235;NORACID S.A.;-3302173,0;-144799935,0
2025-01-01;G0238;CE URIBE DE ANTOFAGASTA SOLAR SPA;2762224,0;2621195,0
2025-01-01;G0241;POZO ALMONTE SOLAR 1 SPA;2675487,0;1035916,0
2025-01-01;G0246;EL PELÍCANO SOLAR COMPANY SPA;3807815,0;-380686644,0
2025-01-01;G0250;EMPRESA ELÉCTRICA TRANQUIL SPA;466636,0;60485254,0
2025-01-01;G0251;GESTEL INGENIERÍA LIMITADA;171583,0;2307004,0
2025-01-01;G0253;HIDROELECTRICA DOS VALLES SPA;-245,0;-266,0
2025-01-01;G0254;CHESTER SOLAR V SPA;804124,0;7598218,0
2025-01-01;G0255;PIUTEL GENERACIÓN ELÉCTRICA LIMITADA;-1282,0;-160618,0
2025-01-01;G0256;CHESTER SOLAR IV SPA;2323014,0;22530485,0
2025-01-01;G0258;QUILLAY SOLAR SPA;697918,0;8813419,0
2025-01-01;G0259;LIRIO DE CAMPO SOLAR SPA;711521,0;8472868,0
2025-01-01;G0261;FOTOVOLTAICA NORTE GRANDE 5 SPA;9818110,0;14497060,0
2025-01-01;G0262;GR ARAUCARIA SPA;2501626,0;26726773,0
2025-01-01;G0265;ACCIONA ENERGÍA CHILE HOLDINGS S.A.;13499066,0;-3224168348,0
2025-01-01;G0266;BESALCO ENERGÍA RENOVABLE S.A.;3109042,0;128607200,0
2025-01-01;G0271;ENERGÍA CERRO EL MORADO S.A.;2116343,0;-62116785,0
2025-01-01;G0272;EL AGRIO HIDRO SPA;304702,0;12233148,0
2025-01-01;G0273;SUNENERGREEN S.A.;24591,0;-396697,0
2025-01-01;G0274;BIO ENERGÍA MOLINA SPA;109272,0;4400132,0
2025-01-01;G0275;EÓLICO LAS PEÑAS SPA;4062982,0;185836337,0
2025-01-01;G0277;DIVISADERO SPA.;636891,0;1138725,0
2025-01-01;G0280;SLK CB NUEVE SPA;787898,0;9878721,0
2025-01-01;G0282;GR TORRES DEL PAINE SPA;2840474,0;37868846,0
2025-01-01;G0285;PARQUE SOLAR VIVEROS SPA;2557521,0;5031038,0
2025-01-01;G0291;HIDROELÉCTRICA RÍO COLORADO S.A.;2948610,0;120454796,0
2025-01-01;G0292;ENEL GREEN POWER CHILE S.A.;519648100,0;10888647302,0
2025-01-01;G0294;BIO ENERGÍA LOS PINOS SPA;1572465,0;67013259,0
2025-01-01;G0298;HIDROELÉCTRICA EMBALSE ANCOA SPA;15840485,0;592260693,0
2025-01-01;G0299;PARQUE EÓLICO CABO LEONES I S.A.;-1578402,0;-472344112,0
2025-01-01;G0300;CALAMA SOLAR 1 SPA;2918878,0;2731680,0
2025-01-01;G0302;SOCER S.A.;1395458,0;39648734,0
2025-01-01;G0305;CALAMA SOLAR 2 SPA;2902264,0;2791536,0
2025-01-01;G0310;VALLE DE LA LUNA II SPA;578873,0;7172048,0
2025-01-01;G0312;VENEZIA SOLAR SPA [EN_REVISION];1430721,0;20489914,0
2025-01-01;G0315;ENERGÍA EÓLICA SAN MATÍAS SPA;22530603,0;855411874,0
2025-01-01;G0325;EMPRESAS LIPIGAS S.A.;-3358423,0;-167250006,0
2025-01-01;G0327;HIDROELÉCTRICA RÍO CLARO S.A.;20519,0;724807,0
2025-01-01;G0329;LA MANGA ENERGY SPA;453048,0;5814892,0
2025-01-01;G0333;AUSTRIANSOLAR CHILE CUATRO SPA;8509724,0;-2880094,0
2025-01-01;G0334;SAN FRANCISCO SOLAR SPA;872797,0;10453391,0
2025-01-01;G0338;AASA ENERGÍA S.A.;25390,0;1158488,0
2025-01-01;G0340;QUEMCHI GENERADORA DE ELECTRICIDAD S.A.;3316,0;224516,0
2025-01-01;G0341;IMELSA ENERGÍA SPA;-65735237,0;-2796615400,0
2025-01-01;G0346;DIEGO DE ALMAGRO SOLAR SPA;2456094,0;10298156,0
2025-01-01;G0348;STATKRAFT EOLICO S.A.;11189293,0;482258996,0
2025-01-01;G0352;CVE PROYECTO VEINTIUNO SPA;452071,0;5659274,0
2025-01-01;G0353;PFV EL CUERVO SPA;526953,0;8169013,0
2025-01-01;G0356;LA GLORIA S.A. [EN_REVISION];250422,0;12368633,0
2025-01-01;G0358;CABRERO SOLAR SPA;1961714,0;25100413,0
2025-01-01;G0360;CHACABUCO SOLAR SPA;2970834,0;37942994,0
2025-01-01;G0362;DOÑA ANTONIA SOLAR SPA;3898753,0;12905930,0
2025-01-01;G0364;BLU SOLAR SPA;983277,0;13835829,0
2025-01-01;G0365;PLANTA SOLAR TOCOPILLA SPA;43438451,0;28536871,0
2025-01-01;G0368;MILLARAY FOTOVOLTAICA SPA;1717370,0;22766540,0
2025-01-01;G0377;PARQUE SOLAR VILLA LONGAVÍ SPA [EN_REVISION];2492183,0;30375149,0
2025-01-01;G0380;PACANA DEL VERANO SPA;614531,0;7834942,0
2025-01-01;G0381;CAPURATA DEL VERANO SPA;725670,0;8779012,0
2025-01-01;G0383;SAN ALFONSO SOLAR SPA;2325352,0;27829358,0
2025-01-01;G0391;SONNEDIX PARQUE SOLAR AMPARO DEL SOL SPA;520431,0;496334,0
2025-01-01;G0396;LA ACACIA SPA;1878364,0;24101182,0
2025-01-01;G0397;CENTRAL HIDROELÉCTRICA SANTA ELENA S.A.;236367,0;9787413,0
2025-01-01;G0398;TACORA ENERGY SPA;-6537,0;-290126,0
2025-01-01;G0402;ENERGÍA SIETE SPA;3435890,0;745000254,0
2025-01-01;G0403;PARQUE FOTOVOLTAICO OCOA SPA;881534,0;10481502,0
2025-01-01;G0404;ENERGÍA GENERACIÓN SPA;4221,0;353146,0
2025-01-01;G0405;MINICENTRALES ARAUCANÍA S.A.;96036,0;4643857,0
2025-01-01;G0407;TÓRTOLA SPA;541062,0;6767001,0
2025-01-01;G0408;PARQUE SOLAR SANTA LAURA SPA;579600,0;6722286,0
2025-01-01;G0409;INNOVACIÓN ENERGÍA S.A.;148667,0;59226294,0
2025-01-01;G0413;GENERADORA LA CALERA SPA;71098,0;13304286,0
2025-01-01;G0415;GR ALERCE ANDINO SPA;815290,0;2516453,0
2025-01-01;G0416;SAMO BAJO SPA;397771,0;697852,0
2025-01-01;G0417;PRIME ENERGÍA QUICKSTART SPA;-131947,0;73305525,0
2025-01-01;G0420;PARQUE FOTOVOLTAICO ALICAHUE SOLAR SPA;600903,0;7685817,0
2025-01-01;G0424;PIQUERO SPA;2707156,0;29597357,0
2025-01-01;G0429;SAFIRA ENERGÍA CHILE SPA;-21079000,0;-838004957,0
2025-01-01;G0430;CERRO DOMINADOR PV S.A.;-74718583,0;-4570111573,0
2025-01-01;G0431;ELÉCTRICA CIPRESILLOS SPA;5536528,0;226449807,0
2025-01-01;G0432;GM HOLDINGS S.A.;-265521058,0;-16183237324,0
2025-01-01;G0434;GENERADORA METROPOLITANA SPA;154537151,0;8118277270,0
2025-01-01;G0435;LUNA ENERGY SPA;385217,0;4673494,0
2025-01-01;G0439;SONNEDIX PARQUE SOLAR PUNTA COLORADA SPA;258557,0;413606,0
2025-01-01;G0443;PMGD CALLE LARGA SPA;817280,0;10090998,0
2025-01-01;G0444;PACIFIC HYDRO PUNTA SIERRA SPA;17070290,0;902000176,0
2025-01-01;G0446;ATRIA ENERGÍA SPA;-22456026,0;-1104485347,0
2025-01-01;G0447;PARQUE EÓLICO EL MAITÉN SPA;3281574,0;159706300,0
2025-01-01;G0448;PMGD MAUCO SPA;711803,0;9232990,0
2025-01-01;G0451;FOTOVOLTAICA ARIZTÍA SPA;416751,0;2137214,0
2025-01-01;G0452;REDEN CABILDO SOLAR SPA;679710,0;7258449,0
2025-01-01;G0453;REDEN TALHUEN SOLAR SPA;492102,0;1155622,0
2025-01-01;G0454;PARQUE SOLAR H6 SPA;477211,0;5319408,0
2025-01-01;G0456;SOLAR TI CUATRO SPA;655396,0;8851679,0
2025-01-01;G0458;GR CHAQUIHUE SPA;1837846,0;17101056,0
2025-01-01;G0461;IMPULSO SOLAR LAS LLOYSAS SPA;45367,0;-38552,0
2025-01-01;G0462;EMPRESA ELÉCTRICA VALLENAR S.A.;-40430,0;-1824501,0
2025-01-01;G0463;VIENTOS DE RENAICO SPA;12749605,0;383942941,0
2025-01-01;G0465;HIDROMOCHO S.A.;4798365,0;568650428,0
2025-01-01;G0466;ALTO MAIPO SPA;-65304791,0;-2711778932,0
2025-01-01;G0467;LAUREL SPA;1923593,0;24755792,0
2025-01-01;G0468;PMGD SOLAR LOS PERALES I SPA;550772,0;7319793,0
2025-01-01;G0469;PARQUE FOTOVOLTAICO SANTA ADRIANA SPA;654175,0;8422424,0
2025-01-01;G0470;TRICAHUE SOLAR SPA;726896,0;9385220,0
2025-01-01;G0471;SOLAR TI DIEZ SPA;662172,0;8280973,0
2025-01-01;G0475;PARQUE EÓLICO EL NOGAL SPA;2190575,0;66220589,0
2025-01-01;G0476;HIDROENERSUR SPA;12785193,0;1490661296,0
2025-01-01;G0477;ELÉCTRICA MOKA SPA;-23724,0;-969613,0
2025-01-01;G0478;MAGDALENA SOLAR SPA;2862244,0;36452920,0
2025-01-01;G0480;SAN EUGENIO SOLAR SPA;2660727,0;33926323,0
2025-01-01;G0482;PFV LO CHACÓN SPA;790937,0;7502231,0
2025-01-01;G0483;NUEVA ESPERANZA SOLAR SPA;575042,0;6820537,0
2025-01-01;G0484;CVE PROYECTO SIETE SPA;2439499,0;30603937,0
2025-01-01;G0485;SANTA CECILIA SOLAR SPA;1798424,0;22325693,0
2025-01-01;G0488;POMERAPE SPA;2222796,0;27849294,0
2025-01-01;G0489;PUNTIAGUDO ENERGY SPA;1581119,0;20175567,0
2025-01-01;G0490;LASCAR ENERGY SPA;2359185,0;31404439,0
2025-01-01;G0491;PER PARINACOTA SPA;871441,0;10877952,0
2025-01-01;G0492;FOTOVOLTAICA SANTA ROSARIO SPA;821542,0;9506546,0
2025-01-01;G0493;CIA ELÉCTRICA LOS MORROS S.A.;1331526,0;51770679,0
2025-01-01;G0495;PFV AYLA SOLAR SPA;2331478,0;31716784,0
2025-01-01;G0497;CVE PROYECTO QUINCE SPA;629775,0;851912,0
2025-01-01;G0498;PARQUE FOTOVOLTAICO DON MATÍAS SPA;743138,0;9403315,0
2025-01-01;G0500;PARQUE SOLAR PUEBLO SECO SPA;2842418,0;35790952,0
2025-01-01;G0501;PLANTA SOLAR PEÑAFLOR II SPA;739847,0;9601224,0
2025-01-01;G0503;PARQUE FOTOVOLTAICO DOÑA IGNA SPA;724210,0;8731457,0
2025-01-01;G0504;ENFRAGEN CHILE SOLAR SPA;31757480,0;105679163,0
2025-01-01;G0506;CVE PROYECTO DIECIOCHO SPA;748469,0;9594578,0
2025-01-01;G0507;PARQUE SOLAR EL CONQUISTADOR SPA;837819,0;10038554,0
2025-01-01;G0509;LA INDEPENDENCIA SOLAR SPA;659125,0;8333050,0
2025-01-01;G0510;PLANTA SOLAR LA PAZ II SPA.;1845470,0;27343533,0
2025-01-01;G0511;PARQUE FOTOVOLTAICO EL LORETO SPA;200074,0;2769832,0
2025-01-01;G0512;PLANTA SOLAR SANTA TERESITA II SPA;2575337,0;33804558,0
2025-01-01;G0513;PLANTA SOLAR LO MIGUEL II SPA.;1076620,0;17478456,0
2025-01-01;G0514;PS MAIMALICAN SPA;2126727,0;12116448,0
2025-01-01;G0515;PFV EL GAVIOTÍN SPA;1141451,0;6069673,0
2025-01-01;G0516;HIDROELÉCTRICA PIEDRAS NEGRAS SPA;1988000,0;79008560,0
2025-01-01;G0518;PATAGUILLA SOLAR SPA;2655474,0;32027919,0
2025-01-01;G0523;SOLAR TI DOCE SPA;842307,0;10444217,0
2025-01-01;G0529;SONNEDIX JOAQUÍN SOLAR SPA;730227,0;3198291,0
2025-01-01;G0531;SONNEDIX PARSOSY ILLAPEL 5 SPA;719500,0;2874967,0
2025-01-01;G0532;PFV LAS CODORNICES SPA;944709,0;11356924,0
2025-01-01;G0534;PFV EL CÓNDOR SPA;353033,0;4249539,0
2025-01-01;G0535;PE CABO LEONES III SPA;9365596,0;233382104,0
2025-01-01;G0536;SANTA CATALINA SOLAR SPA;1324357,0;17804901,0
2025-01-01;G0538;RLA SOLAR SPA;605635,0;6385760,0
2025-01-01;G0539;SONNEDIX ÁNGELA SOLAR SPA;623130,0;2781933,0
2025-01-01;G0540;SONNEDIX LAS PERDICES SPA;709859,0;9166583,0
2025-01-01;G0544;TUCUQUERE SPA;664364,0;7546262,0
2025-01-01;G0545;FV SANTA LAURA SPA;430852,0;5469560,0
2025-01-01;G0546;PFV LAS LECHUZAS SPA;913382,0;11291895,0
2025-01-01;G0547;GENERADORA AZUL SPA;43083,0;6021362,0
2025-01-01;G0549;TSGF SPA;24724804,0;23371387,0
